"","itemtype","X2016","X2014","X2013","X2011"
"1","acart",59,51,51,49
"2","acbk",29025922,21615839,19319912,14489357
"3","accas",159067,159047,159034,158956
"4","accd",11571629,9448729,8620539,6794629
"5","accdrom",2120,2048,2021,1937
"6","acdisk",153,153,151,106
"7","acdvd",23089635,17296925,15343124,11376669
"8","aceq",24507,2530,2078,1381
"9","aceqnh",1194,1,NA,NA
"10","acfold",40585,35675,33396,27042
"11","ackit",982,962,945,886
"12","acmap",300,162,146,108
"13","acmus",128811,100683,91410,71124
"14","acpam",89,67,56,52
"15","acper",275,243,241,231
"16","acphoto",1,1,NA,NA
"17","acpost",62,54,49,44
"18","acrec",5118,3856,3501,2648
"19","acslide",23,22,22,22
"20","acunkn",4,4,4,4
"21","acvhs",733801,733800,733793,733654
"22","acvid",387,387,387,385
"23","ahbk",854,504,63,NA
"24","ahmfm",1,1,1,1
"25","alaptop",18159,372,62,NA
"26","alvhs",6580,6580,6580,6577
"27","arbk",12259,10852,10117,8596
"28","arcas",3,2,2,2
"29","arcd",211,203,201,182
"30","arcdrom",10,10,10,10
"31","ardvd",3,1,1,1
"32","areq",714,NA,NA,NA
"33","areqnh",89,NA,NA,NA
"34","arkit",6,5,5,5
"35","armap",5,5,5,4
"36","armfc",44,38,36,33
"37","armfm",54,53,48,44
"38","armus",23,23,20,17
"39","arper",514,493,471,366
"40","arrec",6,2,1,1
"41","arunkn",8,8,8,8
"42","arvhs",17,17,17,17
"43","arweb",1,1,1,1
"44","atablet",1286,NA,NA,NA
"45","bcbk",87110,64955,59227,45323
"46","bccas",4149,4149,4149,4144
"47","bccd",19399,16935,15699,12208
"48","bccdrom",491,491,491,491
"49","bcdvd",28354,24785,22713,16118
"50","bckit",6263,6152,6066,5712
"51","bcvhs",3956,3955,3948,3926
"52","blvhs",330,330,330,330
"53","dcillb",162835,150364,145593,136241
"54","dcilll",1,1,1,1
"55","drtest",58,58,58,5
"56","jcbk",20586378,13866949,12003079,8425552
"57","jccas",54688,54671,54658,54504
"58","jccd",1204238,917997,814772,597894
"59","jccdrom",4874,4874,4874,4826
"60","jcdvd",4181948,3301878,2987013,2265505
"61","jckit",103152,94025,90378,82111
"62","jcmus",2066,1925,1856,1592
"63","jcrec",10,10,10,10
"64","jcvhs",242255,242255,242255,242255
"65","jlvhs",223,223,223,223
"66","jrbk",325,274,258,223
"67","jrcd",5,5,5,5
"68","jrkit",2,2,2,2
"69","jrmus",2,2,2,2
"70","jrrec",16,16,16,16
"71","pkbknh",200661,NA,NA,NA
"72","ucfold",190155,140568,124441,91893
"73","ucunkn",329,320,315,282
"74","ucunknj",6687,6676,6669,6662
